Ventas;;;2020;2021;2022;2023;2024;2025;;;;;;;;;
;Part number;Catalog Type;;;;;;January;February;March;April;May;June;July;August;September;October
;ABMON-MSP/2001;INV;;-1;;;;;;;;;;;;;
;ABMON-MSP/2001;PKG;1;;;;;;;;;;;;;;
;ABMON-MSP/20SDI01;INV;9;7;6;;;;;;;;;;;;
;ABMON-MSP/20SDI01;PKG;22;56;26;;;;;;;;;;;;
;ABMON-PSP/0801;INV;5;;-1;;;;;;;;;;;;
;ABMON-PSP/0801;PKG;8;14;9;;;;;;;;;;;;
;ABMON-PSP/1201;INV;5;4;;;;;;;;;;;;;
;ABMON-PSP/1201;PKG;8;20;6;1;;;;;;;;;;;
;ABMON-PSP/1701;INV;7;14;3;-3;;;;;;;;;;;
;ABMON-PSP/1701;PKG;65;88;19;;;;;;;;;;;;
;ABMON-PSP/17/ESP01;INV;3;2;1;;;;;;;;;;;;
;ABMON-PSP/17/ESP01;PKG;5;5;3;;;;;;;;;;;;
;ABMON-SSP/1001;INV;-1;;;;;;;;;;;;;;
;ABMON-SSP/1001;PKG;34;38;15;;;;;;;;;;;;
;ABMON-SSP/12ULITE01;INV;-2;;;;;;;;;;;;;;
;ABMON-SSP/1501;INV;;-2;;;;;;;;;;;;;
;ABMON-SSP/1501;PKG;43;57;33;5;;;;;;;;;;;
;ABMON-SSP/15ULITE01;PKG;;1;1;;;;;;;;;;;;
;ABMON-SSP/1701;INV;-3;0;-6;-1;;;;;;;;;;;
;ABMON-SSP/1701;PKG;175;259;180;40;;;;;;;;;;;
;ABMON-SSP/1901;INV;;1;0;3;;;;;;;;;;;
;ABMON-SSP/1901;PKG;41;105;60;5;5;1;;;;;;;;1;
;ABMON-TFM/2201;INV;-1;1;;;;;;;;;;;;;
;ABMON-TFM/2201;PKG;19;31;18;3;;;;;;;;;;;
;ABMRFS-E01;INV;-2;;;;;;;;;;;;;;
;ABMRFS-E01;PKG;8;6;14;19;;;;;;;;;;;
;ABMT-ARRI01;INV;;;4;;;;;;;;;;;;
;ABMT-CAM/LARGE01;INV;;1;;;;;;;;;;;;;
;ABMT-CAM/LARGE01;PKG;;;;;;;;;1;;1;;;;
;ABMT-CLOCK/LTCVITC01;INV;;7;13;10;9;;;;;;;;;;
;ABMT-CW01;INV;61;139;121;51;14;;6;;;;;;;;
;ABMT-CW/EXT01;INV;26;57;22;13;18;;;;;;;;;;
;ABMT-GP01;INV;7;9;1;-2;;;;;;;;;;;
;ABMT-GP01;PKG;11;30;11;2;;;;;;;;;;;
;ABMT-GP/CAM01;INV;1;1;2;;;;;;;;;;;;
;ABMT-GP/HH01;INV;4;28;6;2;;;;;;;;;;;
;ABMT-MA/SMALL01;PKG;13;12;9;6;;;;;;;;;;;
;ABMT-PP01;INV;7;16;13;7;7;;;;;;;;;;
;ABMT-PP01;PKG;79;151;96;49;14;1;;;1;;;;;;
;ABMT-PP/OFFSET01;PKG;;;;;;;;;1;;1;;;;
;ABMT-PP/ROD01;INV;;1;2;;4;;;;3;;;;;;
;ABMT-PP/ROD01;PKG;3;8;12;3;2;;;;;;;;;;
;ABMT-PTZ01;INV;7;18;9;17;8;8;;2;;23;1;;;;
;ABMT-ROD/LONG01;INV;1;7;13;3;;;;1;;;;;1;;
;ABMT-ROD/LONG01;PKG;4;11;7;9;2;;;;;;;;;;
;ABMT-ROD/SHORT01;INV;;1;2;2;3;;;;;;;;;;
;ABMT-ROD/SHORT01;PKG;3;8;12;3;2;;;;;;;;;;
;ABMT-SSP/COMP10L01;PKG;5;1;;;;;;;;;;;;;
;ABMT-SSP/COMP17L01;PKG;13;12;1;;2;;;;;;;;;;
;ABMT-SSP/COMPIPADL01;INV;-1;;;;;;;;;;;;;;
;ABMT-SSP/COMPIPADL01;PKG;44;29;19;1;1;;;;;;;;;;
;ABMT-SSP/COMPLETE1001;INV;0;;;;;;;;;;;;;;
;ABMT-SSP/COMPLETE1001;PKG;29;37;15;;;;;;;;;;;;
;ABMT-SSP/COMPLETE1701;INV;-1;-3;-4;-3;;;;;;;;;;;
;ABMT-SSP/COMPLETE1701;PKG;270;402;272;48;3;1;;1;;;;;;1;
;ABMT-SSP/COMPLETEIPAD01;PKG;46;53;44;11;6;1;;;;;;;;;
;ABMT-SSP/COMPULITE01;INV;-2;;;;;;;;;;;;;;
;ABMT-SSP/COMPULITE01;PKG;;30;1;;;;;;;;;;;;
;ABMT-SSP/DSLR01;INV;7;14;9;3;;;;;;;;;;;
;ABMT-SSP/DSLR01;PKG;23;26;8;1;;;;;;;;;;;
;ABMT-SSP/DSLR/00101;INV;3;2;1;;;;;;;;;;;;
;ABMT-SSP/DSLR/00101;PKG;23;26;8;1;;;;;;;;;;;
;ABMT-SSP/DSLR/00201;INV;1;;;-2;;;;;;;;;;;
;ABMT-SSP/DSLR/00201;PKG;41;53;15;9;;;;;;;;;;;
;ABMT-TFM01;INV;;7;1;5;3;;;;;;;;;;
;ABMT-TFM01;PKG;9;21;16;21;8;;;;;;;;;;
;ABP7008-000101;PKG;;;;;;;2;;;;;;;;
;ABP7008-000201;INV;;;;;-2;;;;;;;;;;
;ABP7008-000201;PKG;;;34;47;8;1;;6;1;;;;;;
;ABP7008-001101;INV;;;;;-1;;-3;;;;;;;;
;ABP7008-001101;PKG;;;16;67;53;4;11;1;12;;3;2;2;5;1
;ABP7008-001201;PKG;;;21;64;62;6;3;2;6;7;2;1;1;4;
;ABP7008-498101;PKG;;;;;10;6;2;6;1;2;1;2;;2;
;ABP7009-000101;INV;;;;11;3;-1;-3;;;;;;;;
;ABP7009-000101;PKG;;;6;42;43;3;6;1;9;4;1;;2;1;
;ABP7010-000101;INV;;;;;-2;;;;;;;;;;
;ABP7010-000101;PKG;;;;28;24;;1;2;2;8;;3;6;4;
;ABP7010-000201;INV;;;;;-3;;;;;;;1;;;
;ABP7010-000201;PKG;;;;60;54;4;5;6;4;3;1;7;3;14;
;ABP7011-000101;INV;;;;;;;-3;;;;;;;;
;ABP7011-000101;PKG;;;;28;28;7;11;1;11;;1;;2;2;
;ABP7011-000201;INV;;;;3;-6;;;;;1;;;;;
;ABP7011-000201;PKG;;;;106;106;5;7;10;11;16;3;8;8;10;
;ABP7011-000301;INV;;;;;2;;;;;;;;;;
;ABP7011-000301;PKG;;;;;2;;;;;;;;;;
;ABP7011-001101;INV;;;;2;-3;;-3;;;;;;;;
;ABP7011-001101;PKG;;;;131;134;12;18;11;22;16;4;8;10;12;
;ABP7011-001201;INV;;;;;1;;;;;;;;;;
;ABP7011-001201;PKG;;;;3;8;;;;;;;;;;
;ABP7011-001301;INV;;;;;2;;;;;;;;;;
;ABP7011-001301;PKG;;;;;2;;;;;;;;;;
;ABP7011-498401;PKG;;;;;1;;;;;;;;;;
;ABP7011-498501;PKG;;;;;2;4;;;;;;;;;
;ABP7015-000101;INV;;;;3;4;;;1;;;;;1;1;
;ABP7015-000101;PKG;;;;3;7;1;;;;;;;;2;
;ABP7015-000201;INV;;;;10;1;;;;;;2;;;;
;ABP7015-000301;INV;;;;2;;;;1;;;1;;;;
;ABP7015-000301;PKG;;;;4;3;1;1;;1;;;;1;4;
;ABP7015-500201;INV;;;;;2;;;;;;;;;;
;ABP7015-500201;PKG;;;;5;3;1;1;;1;;;;1;4;
;ABP7015-500501;INV;;;;;2;;;;;;5;;;;
;ABP7015-501001;INV;;;;-1;2;;-6;;;;3;;;;
;ABP7015-501001;PKG;;;;178;201;18;27;19;33;22;6;15;13;19;
;ABP7015-502001;INV;;;;3;4;;;;7;33;3;;;;
;ABP7015-510201;PKG;;;;4;7;1;;;;;;;;2;
;ABP7015-511001;INV;;;;;1;;;;;;;;;;
;ABP7016-000101;INV;;;;;11;;;;;;;;1;;
;ABP7017-000101;INV;;;;55;104;7;5;6;23;9;9;7;7;20;1
;ABP7017-000101;PKG;;;;5;3;1;1;;1;;;;1;4;
;ABP7017-000201;INV;;;;;-2;;;;;;;;;;
;ABP7017-000201;PKG;;;;65;65;2;4;7;4;11;1;5;7;10;
;ABP7017-001101;INV;;;;50;63;-14;3;10;6;4;5;2;3;9;
;ABP7017-001101;PKG;;;;4;7;1;;;;;;;;2;
;ABP7017-002101;INV;;;;;;3;2;;1;;3;1;1;;1
;ABP7017-002201;INV;;;;;;;;;;;1;1;;1;
;ABP7018-185001;INV;;;;;6;1;;3;;1;1;1;;1;
;ABPAC-01701;INV;171;176;162;101;80;6;3;7;9;10;6;4;1;4;
;ABPAC-01701;PKG;7;26;32;;;;;;;;;;;;
;ABPAC-01801;INV;6;16;7;3;2;;;;;;;;;;
;ABPAC-LWA01;INV;;1;7;3;-1;;;;;;;;;;
;ABPAC-LWA01;PKG;28;71;49;30;14;;;;;;;;;;
;ABPAC-MWA01;INV;;;;-4;;;;;;;;;;;
;ABPAC-MWA01;PKG;59;98;60;29;2;1;;;1;;;;;;
;ABRDP-CNF01;INV;-2;;;;0;;;;;;;;;;
;ABRDP-CNF01;PKG;8;6;14;19;;;;;;;;;;;
;ABRGFH-801;INV;6;8;2;;;;;;;;;;;;
;ABRGFH-S01;INV;14;37;16;19;1;;;;;;;;3;;
;ABRGFH-S01;PKG;10;1;2;;;;;;;;;;;;
;ABRGFH-XW01;INV;16;31;22;23;18;;;;2;2;3;3;2;1;
;ABRGFH-XW01;PKG;72;75;168;80;95;11;7;3;;24;18;4;7;1;1
;ABRGMH-S01;INV;4;7;13;3;6;;;;;1;;;;;
;ABRGMH-S01;PKG;;2;2;;;;;;;;;;;;
;ABRGMH-W01;INV;47;41;32;15;8;1;;;;1;3;2;1;;
;ABRGMH-W01;PKG;57;29;2;;;;;;;;;;;;
;ABS2001-105601;INV;;-1;-3;;;;;;;;;;;;
;ABS2001-105601;PKG;18;16;1;5;5;;;;;;1;1;1;;
;ABS2001-190401;INV;;;;;1;;;;;;;;;;
;ABS2003-000301;INV;3;;;;;;;;;;;;;;
;ABS2003-000301;PKG;6;5;;;;;;;;;;;;;
;ABS2003-202001;PKG;6;5;;;;;;;;;;;;;
;ABS2004-000101;INV;2;;4;;;;;;;;;;;;
;ABS2004-000101;PKG;6;5;;;;;;;;;;;;;
;ABS2005-000101;INV;2;;;;;;;;;;;;;;
;ABS2005-000101;PKG;6;5;;;;;;;;;;;;;
;ABS2014-190001;INV;;;2;;1;;;;;;;;;;
;ABS2019-185001;INV;;;;;3;;;;;;;;;;
;ABS2020-190001;INV;2;3;9;2;6;;6;1;;6;;;;;
;ABS2021-185101;PKG;;;;;4;2;;4;;;;;;2;
;ABS2024-150001;INV;3;;5;4;8;;;;1;2;1;1;1;;
;ABS2034-000101;INV;;;;;2;;;1;;;;;;2;
;ABS2034-000101;PKG;;;;;38;2;;;12;1;5;;2;;
;ABS2036-000201;INV;39;34;80;31;3;;;;;;;;;;
;ABS2036-000201;PKG;301;400;695;399;120;;;;;;;;;;
;ABS2036-000301;INV;13;86;53;19;1;;;;;;;;;;
;ABS2036-000301;PKG;160;348;332;180;40;;;;;;;;;;
;ABS2036-110001;INV;10;16;10;9;3;;;1;;;;;;;
;ABS2036-120001;INV;79;76;122;129;141;3;5;4;21;2;6;19;;;
;ABS2036-191101;INV;23;18;20;19;11;;1;1;;;2;;;;
;ABS2038-100001;INV;1;9;14;16;2;;;;;2;;1;;1;
;ABS2038-100001;PKG;;1;;;;;;;;;;;;;
;ABS2044-000101;INV;99;75;54;49;0;1;3;3;7;;1;;3;3;
;ABS2044-000101;PKG;598;721;803;455;468;;82;23;14;22;25;32;14;22;12
;ABS2045-000101;INV;30;-3;;6;;;;;;;;;;;
;ABS2045-000101;PKG;352;42;;;;;;;;;;;;;
;ABS2046-000101;INV;37;4;-1;;;;;;;;;;;;
;ABS2046-000101;PKG;281;24;;;;;;;;;;;;;
;ABS2051-000101;INV;-52;-9;-1;;3;;;;;;;;;;
;ABS2051-000101;PKG;5560;373;;;;;;;;;;;;;
;ABS2051-000601;INV;1;0;-1;0;-14;;3;;;;5;1;1;;
;ABS2051-000601;PKG;326;8015;6366;5602;6711;232;292;224;390;481;1015;168;286;537;44
;ABS2051-106101;INV;105;219;135;112;91;3;5;6;8;17;21;5;6;23;5
;ABS2051-106101;PKG;3566;3146;1645;1364;1287;75;75;80;68;57;118;39;29;108;13
;ABS2051-106201;INV;;105;94;159;100;3;7;11;26;10;31;15;16;24;4
;ABS2051-106201;PKG;;5300;5677;4276;4639;146;201;164;318;432;517;151;163;416;33
;ABS2051-106301;INV;;;;;15;;;;;;3;4;2;2;
;ABS2051-106501;INV;;-1;-1;-1;3;-1;;;;;;;;;
;ABS2051-106501;PKG;;944;412;327;178;7;13;7;21;5;18;14;15;4;2
;ABS2051-107001;PKG;7;1;;;;;;;;;;;;;
;ABS2051-107401;INV;164;147;167;274;127;14;16;18;8;7;5;11;11;10;
;ABS2051-190001;INV;13;13;38;52;48;5;1;1;2;1;4;27;6;8;
;ABS2051-190001;PKG;;;;;9;1;6;4;15;1;7;16;15;;
;ABS2051-190101;INV;;;;;14;3;5;11;15;10;6;8;;1;
;ABS2051-205501;INV;244;304;524;411;340;37;45;23;49;38;16;34;48;32;1
;ABS2051-910001;INV;;;;8;2;;1;;;;;;;;
;ABS2052-000101;INV;-26;-17;3;-2;-20;;;;-1;;;;;-1;
;ABS2052-000101;PKG;1300;1878;2075;1153;1013;46;105;77;60;48;43;33;28;93;14
;ABS2052-105101;INV;3;7;24;1;16;3;1;4;1;2;4;;1;1;
;ABS2052-105301;INV;2;6;14;6;12;4;2;1;;;1;1;3;;
;ABS2052-107001;INV;1;18;;4;;;;;;;5;;;;
;ABS2052-107001;PKG;11;18;3;;;;;;;;;;;;
;ABS2052-110001;INV;97;198;141;165;147;10;11;10;23;6;13;6;21;9;1
;ABS2052-110001;PKG;298;355;430;287;307;39;10;21;14;5;10;8;10;37;2
;ABS2052-185001;INV;-10;-2;-1;;3;;;;;;;;;;
;ABS2052-185001;PKG;1156;1044;845;778;1009;42;18;18;26;23;224;10;12;35;3
;ABS2052-190001;INV;;;;;11;13;8;21;35;9;16;1;14;4;
;ABS2052-910001;INV;;;;17;12;;1;;;;;;;;
;ABS2054-100101;INV;134;266;311;322;272;;;;;;;;;;
;ABS2054-100101;PKG;5064;6712;5249;4592;3973;;;;;;;;;;
;ABS2055-000101;INV;300;387;251;166;178;6;13;28;10;12;29;8;13;28;1
;ABS2055-190001;INV;8;9;10;7;6;;;;;;1;8;1;;
;ABS2056-000101;INV;43;110;135;100;87;4;2;11;1;5;12;3;7;13;5
;ABS2056-000101;PKG;1097;1406;1617;957;734;43;96;62;47;34;33;19;24;76;13
;ABS2057-000101;INV;27;85;68;48;95;4;2;4;;1;1;5;4;5;
;ABS2057-190001;INV;8;15;5;9;6;;;;;;;;;;
;ABS2058-000101;INV;32;91;49;86;26;22;2;6;5;2;3;14;1;2;
;ABS2058-000101;PKG;887;1836;1423;1152;1150;40;65;64;61;66;89;33;45;109;8
;ABS2058-107001;INV;-97;115;225;281;325;42;37;43;24;13;29;16;45;20;1
;ABS2058-107001;PKG;19435;26364;22146;18114;20679;738;1029;771;1266;1407;3024;564;900;1746;162
;ABS2058-190001;INV;;;;;4;;;;;;;;;;
;ABS2064-000101;INV;;2;-1;-7;-15;;;;;;;;;;
;ABS2064-000101;PKG;21;1961;1915;1439;1497;49;55;45;72;160;62;30;99;43;1
;ABS2065-000101;INV;;93;204;109;87;10;4;4;19;3;4;11;10;7;3
;ABS2065-000101;PKG;;325;585;297;246;8;17;17;2;11;44;6;10;46;1
;ABS2065-000201;INV;;;;;32;;;10;;;;;;;
;ABS2068-000101;INV;;-3;-4;-3;4;;1;;;;2;;-1;;
;ABS2068-000101;PKG;128;2332;1857;1380;1857;57;89;57;101;159;294;41;12;165;14
;ABS2068-000201;INV;;-4;-3;1;-4;-1;;;;;;;;;
;ABS2068-000201;PKG;33;1469;1198;1106;1019;35;43;22;126;92;129;71;31;144;20
;ABS2068-195001;INV;;;13;6;4;;;;;;;;;;
;ABS2069-000101;INV;;172;411;207;253;42;7;42;37;30;43;15;11;15;
;ABS2069-000101;PKG;;356;873;402;423;8;29;51;42;27;37;27;40;95;
;ABS2069-000201;INV;;;50;111;30;;;;;10;;5;;5;
;ABS2069-000201;PKG;;103;47;;16;;;;;;;;;;1
;ABS2072-000101;INV;;0;-16;2;-2;;;;;;;;3;;
;ABS2072-000101;PKG;;994;592;320;189;4;20;21;24;8;11;10;9;14;
;ABS2072-000201;INV;;;2;-1;-1;;;-5;;;;;;;
;ABS2072-000201;PKG;;;310;207;148;8;8;17;19;7;4;5;3;2;
;ABS2073-000101;INV;;;134;35;43;1;6;2;14;2;2;7;14;1;
;ABS2073-000101;PKG;;;113;132;80;7;1;3;4;6;10;9;2;13;
;ABS2074-000201;INV;;;;-21;-8;;;;;;;;1;-1;
;ABS2074-000201;PKG;;;209;135;91;2;2;;1;9;6;3;;10;
;ABS2076-000201;INV;;2;-1;2;0;;;;;;;-1;;-2;
;ABS2076-000201;PKG;;8;255;149;171;3;6;14;11;2;6;3;3;6;
;ABS2077-000201;INV;;;78;102;35;;16;9;3;1;1;;1;;
;ABS2077-000201;PKG;;;137;79;123;;4;3;7;;4;5;4;7;
;ABS2080-000101;INV;;424;118;15;1;;;;;;;;;;
;ABS2080-000201;INV;;60;56;;;;;;;;;;;;
;ABS2080-000201;PKG;;13;2;;;;;;;;;;;;
;ABS2080-000301;INV;24;1375;954;683;467;24;6;33;25;76;84;23;29;30;2
;ABS2080-000301;PKG;;9;2;2;7;2;1;2;2;;1;3;1;3;
;ABS2080-000401;INV;;144;136;180;94;6;2;4;12;14;14;3;5;1;
;ABS2080-000401;PKG;;12;9;10;1;;;;;;1;1;1;;
;ABS2080-000501;INV;;856;316;207;157;5;20;3;31;7;15;7;8;6;3
;ABS2080-000601;INV;;47;72;67;24;3;1;;;1;;3;;;
;ABS2080-000701;INV;;11;;3;;;;;;-1;;1;2;;
;ABS2080-000701;PKG;;21;11;13;13;2;1;2;2;;2;4;2;4;
;ABS2080-000801;INV;;7;20;8;7;1;;;;;6;1;1;;
;ABS2080-000901;INV;;10;;;;;;;;;;;;;
;ABS2080-000901;PKG;;30;;;;;;;;;;;;;
;ABS2080-001201;INV;;;179;355;445;16;12;57;37;64;80;20;78;29;1
;ABS2080-001301;INV;;;118;241;201;4;3;23;25;7;8;19;14;26;1
;ABS2080-001301;PKG;;;15;10;14;;;;;;1;;1;;
;ABS2080-101201;INV;;;4;;;;;;;;;;;;
;ABS2082-100001;INV;;;;;158;16;22;23;16;24;115;29;42;64;39
;ABS2082-100001;PKG;;;;;2014;205;255;212;372;445;978;178;264;472;40
;ABS2086-000201;PKG;;;;;;;;;;;;;9;15;
;ABS2087-000201;PKG;;;;;;;;;;;;;;8;
;ABS2088-000201;PKG;;;;;;;;;;;;;3;1;
;ABS2089-000201;INV;;;;;;;;;;;;;;4;
;ABS2089-000201;PKG;;;;;;;;;;;;;;10;
;ABS2150-000401;INV;590;1108;1060;1149;32;;;;;;;;;;
;ABS2150-000401;PKG;962;1614;1022;1331;218;;;;;;;;;;
;ABS2150-120001;INV;150;172;176;162;199;3;23;6;22;17;60;36;7;7;
;ABS2150-120001;PKG;;;;;2233;134;235;166;216;277;366;187;152;119;12
;ABS2152-000101;INV;18;;;;;;;;;;;;;;
;ABS2152-000101;PKG;1;;;;;;;;;;;;;;
;ABS2152-101501;INV;1;6;;;;;;;;;;;;;
;ABS2152-120001;INV;11;0;;;;;;;;;;;;;
;ABS2152-120101;INV;1;;;;;;;;;;;;;;
;ABS2152-120201;INV;;3;;;;;;;;;;;;;
;ABS2152-200901;INV;;;;;1;;;;;;;;;;
;ABS2152-201101;INV;;;1;;;;;;;;;;;;
;ABS2153-000101;INV;15;;;;;;;;;;;;;;
;ABS2153-000101;PKG;1;;;;;;;;;;;;;;
;ABS2153-100301;INV;1;;;;;;;;;;;;;;
;ABS2153-100401;INV;2;5;1;1;;;;;;;;;;;
;ABS2153-120001;INV;;1;;;;;;;;;;;;;
;ABS2153-120201;INV;-1;;-1;;;;;;;;;;;;
;ABS2153-120201;PKG;1;;;;;;;;;;;;;;
;ABS2154-000101;INV;81;;;;;;;;;;;3;;;
;ABS2154-000101;PKG;1;;;;;;;;;;;;;;
;ABS2154-190401;INV;;;;;1;;;;;;;;;;
;ABS2155-000201;INV;;;9;14;3;;;;;;;;;;
;ABS2155-000201;PKG;;101;432;183;75;;;;;;;;;;
;ABS2155-000301;INV;;1;43;24;-3;;;;;;;;;;
;ABS2155-000301;PKG;;245;697;356;62;;;;;;;;;;
;ABS2155-100001;INV;;6;;;;;;;;;;;;;
;ABS2170-100001;INV;;;;;0;;;0;;;1;1;;;
;ABS2170-100001;PKG;;;;;2233;134;235;166;216;277;366;187;152;119;12
;ABS2171-000101;INV;;;;;18;5;;7;4;2;20;1;4;3;
;ABS2171-000101;PKG;;;;;231;10;21;18;26;18;28;19;16;28;1
;ABS2172-000101;INV;;;;;24;5;3;1;1;;7;;;1;
;ABS2172-000101;PKG;;;;;306;11;19;42;22;56;27;31;45;34;
;ABS2302-000101;INV;;;10;5;3;;;3;;;;1;1;;
;ABS2302-000101;PKG;;;;41;11;2;4;1;;;;;;;
;ABS2303-000101;INV;;;8;2;5;1;;;;;;;;;
;ABS2303-000101;PKG;;;8;15;11;;2;;;;;;;2;
;ABS2350-204401;INV;1;1;3;3;2;;1;2;;;;;;;
;ABS2362-195001;INV;;;;2;;;;;;;;;;;
;ABSPE10B020001;INV;-1;-1;-1;;;;;;;;;;;;
;ABSPE10B020001;PKG;23;47;44;30;34;;5;2;4;1;1;4;;1;
;ABSPE11B039201;INV;1;19;23;2;1;;;;;;;;;;
;ABSPE11B039201;PKG;64;89;97;79;73;5;6;5;13;3;1;7;3;2;
;ABSPE11B050101;INV;;-1;;-4;-1;;;;;;;;;;
;ABSPE11B050101;PKG;41;46;53;49;39;5;1;3;9;2;;3;3;1;
;ABSPE13B031001;INV;1;2;;;;;;;;;;;;;
;ABSSP10P110001;INV;7;4;10;7;7;4;1;4;;1;;;;;
;ABSSP11B030401;INV;;;5;8;5;;;;;;;;1;-1;
;ABSSP12P015001;INV;165;175;199;162;147;1;5;1;6;9;17;9;2;8;3
;ABSSP12P015001;PKG;10;1;;;299;11;21;35;34;17;47;31;23;26;1
;ABSST10P160001;INV;-1;;;;;;;;;;;;;;
;ABSST10P170001;INV;14;;;1;;;;;;;;;;;
;ABSST10P170001;PKG;211;7;;;;;;;;;;;;;
;ABSST14P090001;INV;;;;;;;;;;;28;22;;;
;ABSST16P040001;INV;3;23;11;6;7;1;;;;2;;2;;1;
;ABSVE15B010101;INV;;;1;;;;;;;;;;;;
;ABSVE16B020101;INV;2;4;3;;3;;;;;;;;1;;
;ABSVE17B010101;INV;6;8;5;;15;;;;;;1;2;;;
;ABSW-DONGLE01;INV;2;9;0;1;4;;;;;;;;;;
;ABSW-DONGLE01;PKG;92;108;85;41;13;;;;;;;;;;
;ABSZU10E380101;PKG;5;5;7;6;15;;;;;1;;;;;
;ABSZU10P010001;INV;5;4;;;;;;;;;;;;;
;ABSZU11P010001;INV;;;;1;;;;;;;;;;;
;ABSZU11P010001;PKG;;;;2;3;;;;;;2;2;2;;
;ABTAG-BLUE01;INV;-1;0;;0;1;;;;;;;;;;
;ABTAG-BLUE01;PKG;48;69;49;22;;;;;;;;;;;
;ABTAG-RED01;INV;-3;-3;-2;;;;;;;;;;;;
;ABTAG-RED01;PKG;34;35;28;15;5;;;;;;;;;;
;ABTALLYPLUS01;INV;;;;1;;;;;;;;;;;
;ABTALLYPLUS-201;INV;4;;;;;;;;;;;;;;
;ABTC-EPIC17-OB01;INV;1;;;;;;;;;;;;;;
;ABTJ-15B-SP-BK01;INV;11;27;6;12;4;;;1;;;1;;1;;
;ABTJ-15B-SP-S-BK01;INV;4;;;;;;;;;;;;;;
;ABTR-1201;INV;13;10;11;5;3;;;;;;;;;;
;ABTR-1201;PKG;45;32;67;30;41;1;;;;;7;;4;1;1
;ABTR-501;INV;10;5;4;-2;;;;;;;;;;;
;ABTR-501;PKG;70;67;95;;;1;;;;;;;;;
;ABTR-701;INV;;1;;1;4;;;;;;3;3;;;
;ABTR-701;PKG;;;;49;56;9;7;3;;24;11;2;3;;
;ABU005-16101;INV;;;;;1;;;;;;;;;;
;ABU005-16201;INV;;;1;;1;;;;;;;;;;
;ABU005-16301;INV;1;1;0;;;;;;;;4;;;;
;ABU005-16401;INV;;;;1;;;;;;;;;;;
;ABU005-16501;INV;;1;;;2;;;;;;;;;;
;ABU005-16701;INV;1;;;;;;;;;;;;;;
;ABU005-16801;INV;;;;;1;;;;;;;;;;
;ABU005-17001;INV;1;3;1;;;;;;;;;;;;
;ABUSB-BLUE01;INV;-1;5;;0;1;;;;;;;;;;
;ABUSB-BLUE01;PKG;49;69;49;22;;;;;;;;;;;
;ABUSB-GREEN01;INV;-5;-1;;;-1;;;;;;;;;;
;ABUSB-GREEN01;PKG;486;22;24;5;8;;;;;;;;;;
;ABUSB-RED01;INV;-3;-3;-4;;;;;;;;;;;;
;ABUSB-RED01;PKG;34;35;32;15;5;;;;;;;;;;
;ABV3850-000101;INV;1;;;;;;;;;;;;;;
;ABV3852-000301;INV;21;33;45;50;6;;;;;5;2;3;5;1;
;ABV3852-000401;INV;4;;3;6;;;;;;;;;;;
;ABV3950-000101;INV;7;21;6;;;;;;;;;;;;
;ABV3950-000101;PKG;;2;;;;;;;;;;;;;
;ABV3951-100001;INV;1;-3;-3;;;;;;;;;;;;
;ABV3951-100001;PKG;34;51;32;;;;;;;;;;;;
;ABV3955-000101;INV;34;40;8;37;12;;;;;;;2;;;
;ABV3955-000101;PKG;35;54;38;15;10;;;9;5;3;2;;;1;
;ABV3955-000201;INV;16;21;66;8;25;;1;;;;;;;;
;ABV3955-000201;PKG;8;18;12;;;4;;;;10;;;1;;
;ABV3955-000301;INV;62;8;7;1;8;;;;;1;;;;;
;ABV3963-000201;INV;15;12;28;13;14;;;;;;4;;3;;
;ABV3963-000301;INV;3;3;;15;6;;;;;;;;;;
;ABV3980-5014-907501;INV;4;9;4;;;;;;;;;;;;
;ABV3980-5014-925001;INV;3;;3;1;;;;;;;;;;;
;ABV3980-5020-907501;INV;3;0;3;;;;;;;;;;;;
;ABV3980-5020-925001;INV;3;;2;1;;;;;;;;;;;
;ABV3980-5029-907501;INV;1;0;;;;;;;;;;;;;
;ABV3980-5029-925001;INV;2;;1;;;;;;;;;;;;
;ABV3980-5052-907501;INV;;;1;;1;;;;;;;;;;
;ABV3996-000101;INV;17;16;24;39;37;;2;1;;6;7;;;;
;ABV4002-000201;INV;6;6;4;5;;;;;;;;;;;
;ABV4006-000101;INV;44;79;87;115;34;;3;;;;;;;1;
;ABV4006-190001;INV;1;2;1;;1;;1;;;;;;;;
;ABV4006-190601;INV;;;;1;1;;;;;;;;;;
;ABV4006-190801;INV;;1;;;;;;;;;;;;;
;ABV4034-000101;INV;113;187;386;185;252;1;59;50;64;58;14;20;27;7;
;ABV4034-000201;INV;21;45;13;31;12;3;3;8;;1;3;1;;5;
;ABV4034-000301;INV;4;;;;;;;;;;;;;;
;ABV4043-190001;INV;15;9;1;4;;;;;;;;6;;;
;ABV4043-190101;INV;109;179;112;93;90;4;7;2;14;9;13;7;9;5;2
;ABV4043-190301;INV;3;;2;1;2;;;;;;;;;;
;ABV4045-000101;INV;20;13;5;3;9;;;;2;;3;2;2;3;
;ABV4045-000101;PKG;63;46;23;24;10;2;2;2;;;;;2;;1
;ABV4045-190101;INV;49;70;26;43;49;;11;1;4;3;4;;1;2;
;ABV4046-000101;INV;15;9;6;7;12;;2;;;1;1;;;;1
;ABV4046-000101;PKG;38;26;23;28;15;;2;10;;;;2;2;;
;ABV4080-101001;INV;1;3;2;;;;;;;;;;;;
