Ventas;;;2020;2021;2022;2023;2024;2025;;;;;;;;;
;Part number;Catalog Type;;;;;;January;February;March;April;May;June;July;August;September;October
;AB26420001;INV;;;;3;3;;;;2;;2;;;;
;AB26430001;INV;;;;3;1;;;;;;;;10;;
;AB26440001;INV;;;;;1;;;;;;;;;;
;AB26490001;INV;;;;15;12;;;;;;;;;;
;AB26550001;INV;;;;;4;;;;;;;;;;
;AB26560001;INV;;;;;3;;;;;;;;;;
;AB26610001;INV;;;;;1;;;;;;;;;;
;AB26630001;INV;;;;;;;3;3;;;;;;;
;AB26640001;INV;;;;18;83;;;;;;;;;;
;AB26650001;INV;;;;;2;;;;;;1;;;;
;AB26660001;INV;;;;;1;;;2;;;;;;;
;AB26670001;INV;;;;3;23;;;;;;;;;;
;AB26710001;INV;;;;7;24;;;;;6;5;15;;;
;AB26720001;INV;;;;3;1;;;;2;2;;;;;
;AB26730001;INV;;;;;1;;;;;;;4;;;
;AB26860001;INV;;;;6;9;2;;;;;2;;;;
;AB26870001;INV;;;;14;72;1;;;;;;;;;
;AB26890001;INV;;;;;1;;;;;;;;;;
;AB26900001;INV;;;;;3;;;;;2;;;;;
;AB26910001;INV;;;;57;79;6;22;19;10;;18;12;;19;
;AB26920001;INV;;;;15;25;1;;;19;;;8;;;
;AB27100001;INV;;;;20;52;1;;3;;;;;;;
;AB27120001;INV;;;;;12;;;;;;;;;;
;AB27150001;INV;;;;164;149;;;;;;;;30;;
;AB27180001;INV;;;;;33;;;;;;;8;;;
;AB27250001;INV;;;;3;9;;;;;;;;;;
;AB27260001;INV;;;;;30;;;;;5;;;5;;
;AB27270001;INV;;;;;18;;;;2;;;;;;
;AB27300001;INV;;;;;6;;;;;;;;;;
;AB27410001;INV;;;;;;;;;;;;25;;;
;AB27430001;INV;;;;;11;;;;;;;;;;
;AB27440001;INV;;;;3;19;;;;;3;;;20;;
;AB27450001;INV;;;;3;32;;;;;;;;;;
;AB27460001;INV;;;;53;143;;;;;;;;;;
;AB27510001;INV;;;;14;92;;;;13;;;5;;;
;AB27580001;INV;;;;4;10;;;;;;;;;;
;AB27590001;INV;;;;67;168;;;;;;;;;;
;AB27600001;INV;;;;17;97;;;;;;;;;;
;AB27610001;INV;;;;24;24;;;;;;;;;;
;AB27650001;INV;;;;3;7;2;;;6;;;5;;;
;AB27660001;INV;;;;21;88;6;;;5;;;;;;
;AB27700001;INV;;;;12;48;;;;;;;;20;;
;AB27710001;INV;;;;3;2;;;;;;;5;5;;
;AB27830001;INV;;;;;17;;6;;2;;;;;10;
;AB27880001;INV;;;;124;565;187;80;100;78;25;;45;;;
;AB27890001;INV;;;;45;118;50;8;50;;;;;;45;
;AB27900001;INV;;;;181;888;;331;85;;;;;;;
;AB27910001;INV;;;;3;17;;;;7;;;;;10;
;AB27930001;INV;;;;27;68;;;;;;;;;;
;AB27940001;INV;;;;;;;;;;;;12;;;
;AB28020001;INV;;;;8;26;3;;6;;;;5;5;;
;AB28030001;INV;;;;81;169;;;;;;;;;;
;AB28040001;INV;;;;49;35;;;;;;;;;;
;AB28050001;INV;;;;19;45;;15;;;;;;;;
;AB28060001;INV;;;;72;317;;;;;;;;;;
;AB28110001;INV;;;;42;62;;;;;;;;20;;
;AB28120001;INV;;;;3;8;;;;;;;;;;
;AB28130001;INV;;;;;4;;;;;;;;;;
;AB28140001;INV;;;;;9;;;;4;;;;;;
;AB28150001;INV;;;;;10;;;;;;;;;;
;AB28160001;INV;;;;;27;;;6;;;3;;6;4;
;AB28170001;INV;;;;;3;;;;;4;4;;;;
;AB28210001;INV;;;;24;160;;;;;;;;;;
;AB28220001;INV;;;;33;254;25;;;;;;;;;
;AB28230001;INV;;;;30;326;11;;;;;;;;;
;AB28250001;INV;;;;20;85;;;;;;;;;;
;AB28270001;INV;;;;16;66;;18;;;;;;;;
;AB28280001;INV;;;;6;20;;;;;;;;;;
;AB28300001;INV;;;;164;685;;;;;;;;30;40;
;AB28310001;INV;;;;48;191;;31;9;;;6;4;4;26;
;AB28320001;INV;;;;32;75;;8;;;13;;;30;;
;AB28500001;INV;;;;;1;;;;;;;;;;
;AB28520001;INV;;;;;33;;;;7;;2;;;15;
;AB28810001;INV;;;;52;42;;;;;;;;;;
;AB28830001;INV;;;;;11;;;;;;;;;;
;AB28840001;INV;;;;2;20;;;;;;;;;;
;AB28850001;INV;;;;15;43;19;;51;;;;;;;
;AB28860001;INV;;;;;30;14;;4;13;;;;;;
;AB28930001;INV;;;;103;97;;;;18;15;;;15;;
;AB300601;INV;17;17;11;12;1;;;;;;;;;;
;AB300601;PKG;19;37;47;41;4;;;;;;;;;;
;AB300701;INV;;;;;11;;;1;9;;2;;2;1;
;AB300701;PKG;;;;;53;3;;1;5;12;;;3;4;
;AB305101;INV;58;107;115;69;76;10;4;5;7;;2;15;15;6;
;AB3053-301;INV;186;222;331;308;361;2;64;50;73;57;14;17;46;6;1
;AB3053-301;PKG;3;12;;;;;;;;;;;;;
;AB3055-3B01;INV;8;16;12;14;6;1;;;;;;;1;;
;AB306001;INV;5;4;13;31;2;4;;;;2;1;;;1;
;AB306101;INV;1;;;;;;;;;;;;;;
;AB308301;INV;11;2;1;;;;;;;;;;;;
;AB3100-301;INV;14;3;1;33;5;;;;1;-1;;;;;
;AB3101-301;INV;35;29;10;19;6;15;;;6;;;;;6;
;AB3103-301;INV;23;54;89;79;58;3;5;5;;2;1;;2;;2
;AB3104-301;INV;48;63;122;19;16;;;2;8;6;;1;;1;
;AB3143-301;INV;1;;;;2;;;;;;;;;;
;AB3155-3B01;INV;3;9;12;16;8;2;1;;;;;;;;
;AB317001;INV;18;21;44;23;35;2;6;8;4;3;11;1;;1;
;AB317101;INV;17;27;53;70;68;5;4;2;5;3;2;5;4;;
;AB317201;INV;;1;8;;3;;;;;;;;;;
;AB3219-10101;INV;54;32;66;23;23;3;2;;2;4;8;3;3;7;
;AB3219-10501;INV;17;;;;1;;;;;;;;;;
;AB3219-11001;INV;60;98;40;36;16;;4;5;13;2;3;3;1;;1
;AB3219-11301;INV;105;58;102;41;37;1;3;5;4;10;;;9;2;
;AB3219-11501;INV;42;87;77;112;36;;3;2;;;;;;;
;AB3219-11501;PKG;1;1;;;;;;;;;;;;;
;AB3219-11601;INV;4;4;11;4;7;;;;;;;;;;
;AB3219-8201;INV;198;268;484;397;303;10;50;63;60;59;18;12;33;20;
;AB3219-8201;PKG;3;12;;;;;;;;;;;;;
;AB3219-9101;INV;282;425;615;315;195;13;24;40;66;9;25;9;30;7;2
;AB3219-9101;PKG;202;197;235;231;161;11;13;17;46;10;1;9;1;;
;AB3219-9301;INV;5;6;6;7;5;;1;4;3;1;1;1;;6;
;AB3219-9401;INV;92;139;185;160;119;;22;;9;16;18;12;5;18;
;AB327001;INV;111;196;301;191;227;4;12;13;14;5;25;7;12;3;7
;AB327101;INV;498;623;683;511;376;25;42;31;27;30;35;5;33;15;11
;AB327101;PKG;11;28;21;31;30;;2;;6;;3;3;11;;
;AB3328-3001;INV;5;;7;2;22;;;;;;5;2;;;
;AB3329-3001;INV;4;7;12;6;5;;;;;;1;;;;
